node_id	best_path
E105_Somatic_mesoderm_B	E105_Somatic_mesoderm_B,E95_Somatic_mesoderm_B,E85_Somatic_mesoderm_B,E825_Somatic_mesoderm_B,E8_Somatic_mesoderm,E775_Somatic_mesoderm,E75_Somatic_mesoderm,E725_Somatic_mesoderm,E7_Mixed_mesoderm,E675_Nascent_mesoderm,E65_Primitive_Streak,E625_Epiblast
E75_ExE_mesoderm	E75_ExE_mesoderm,E725_Mixed_mesoderm,E7_Mixed_mesoderm,E675_Nascent_mesoderm,E65_Primitive_Streak,E625_Epiblast
E95_NMP	E95_NMP,E85_NMP,E825_NMP,E8_Caudal_lateral_epiblast,E775_Caudal_lateral_epiblast,E75_Caudal_lateral_epiblast,E725_Primitive_Streak,E7_Primitive_Streak,E675_Primitive_Streak,E65_Primitive_Streak,E625_Epiblast
E115_Otic_epithelium	E115_Otic_epithelium,E105_Otic_epithelium,E95_Otic_epithelium,E85_Placodal_area,E825_Surface_ectoderm,E8_Surface_ectoderm,E775_Surface_ectoderm,E75_Surface_ectoderm,E725_Primitive_Streak,E7_Primitive_Streak,E675_Primitive_Streak,E65_Primitive_Streak,E625_Epiblast
E125_Inhibitory_interneurons	E125_Inhibitory_interneurons,E115_Inhibitory_interneurons,E105_Inhibitory_interneurons,E95_Neuron_prog,E85_Hindbrain,E825_Hindbrain,E8_Rostral_neurectoderm,E775_Rostral_neurectoderm,E75_Rostral_neurectoderm,E725_Epiblast,E7_Epiblast,E675_Epiblast,E65_Epiblast,E625_Epiblast
E105_Limb_mesenchyme_prog	E105_Limb_mesenchyme_prog,E95_Limb_mesenchyme_prog,E85_Intermediate_mesoderm,E825_Intermediate_mesoderm,E8_Intermediate_mesoderm,E775_Intermediate_mesoderm,E75_Nascent_mesoderm,E725_Nascent_mesoderm,E7_Nascent_mesoderm,E675_Nascent_mesoderm,E65_Primitive_Streak,E625_Epiblast
E775_Caudal_lateral_epiblast	E775_Caudal_lateral_epiblast,E75_Caudal_lateral_epiblast,E725_Primitive_Streak,E7_Primitive_Streak,E675_Primitive_Streak,E65_Primitive_Streak,E625_Epiblast
E825_PGC	E825_PGC,E8_PGC,E775_PGC,E75_PGC,E725_PGC,E7_PGC,E675_Primitive_Streak,E65_Primitive_Streak,E625_Epiblast
E105_Notoplate	E105_Notoplate,E95_Notoplate,E85_Hindbrain,E825_Hindbrain,E8_Rostral_neurectoderm,E775_Rostral_neurectoderm,E75_Rostral_neurectoderm,E725_Epiblast,E7_Epiblast,E675_Epiblast,E65_Epiblast,E625_Epiblast
E8_Paraxial_mesoderm_A	E8_Paraxial_mesoderm_A,E775_Paraxial_mesoderm_A,E75_Paraxial_mesoderm_A,E725_Nascent_mesoderm,E7_Nascent_mesoderm,E675_Nascent_mesoderm,E65_Primitive_Streak,E625_Epiblast
E95_Branchial_arch_epithelium	E95_Branchial_arch_epithelium,E85_Placodal_area,E825_Surface_ectoderm,E8_Surface_ectoderm,E775_Surface_ectoderm,E75_Surface_ectoderm,E725_Primitive_Streak,E7_Primitive_Streak,E675_Primitive_Streak,E65_Primitive_Streak,E625_Epiblast
E825_Somatic_mesoderm_B	E825_Somatic_mesoderm_B,E8_Somatic_mesoderm,E775_Somatic_mesoderm,E75_Somatic_mesoderm,E725_Somatic_mesoderm,E7_Mixed_mesoderm,E675_Nascent_mesoderm,E65_Primitive_Streak,E625_Epiblast
E8_Intermediate_mesoderm	E8_Intermediate_mesoderm,E775_Intermediate_mesoderm,E75_Nascent_mesoderm,E725_Nascent_mesoderm,E7_Nascent_mesoderm,E675_Nascent_mesoderm,E65_Primitive_Streak,E625_Epiblast
E135_Otic_epithelium	E135_Otic_epithelium,E125_Otic_epithelium,E115_Otic_epithelium,E105_Otic_epithelium,E95_Otic_epithelium,E85_Placodal_area,E825_Surface_ectoderm,E8_Surface_ectoderm,E775_Surface_ectoderm,E75_Surface_ectoderm,E725_Primitive_Streak,E7_Primitive_Streak,E675_Primitive_Streak,E65_Primitive_Streak,E625_Epiblast
E95_Epidermis	E95_Epidermis,E85_Epidermis,E825_Surface_ectoderm,E8_Surface_ectoderm,E775_Surface_ectoderm,E75_Surface_ectoderm,E725_Primitive_Streak,E7_Primitive_Streak,E675_Primitive_Streak,E65_Primitive_Streak,E625_Epiblast
E135_Ependymal_cell	E135_Ependymal_cell,E125_Ependymal_cell,E115_Ependymal_cell,E105_Ependymal_cell,E95_Ependymal_cell,E85_Neural_crest,E825_Neural_crest,E8_Rostral_neurectoderm,E775_Rostral_neurectoderm,E75_Rostral_neurectoderm,E725_Epiblast,E7_Epiblast,E675_Epiblast,E65_Epiblast,E625_Epiblast
E95_Limb_mesenchyme_prog	E95_Limb_mesenchyme_prog,E85_Intermediate_mesoderm,E825_Intermediate_mesoderm,E8_Intermediate_mesoderm,E775_Intermediate_mesoderm,E75_Nascent_mesoderm,E725_Nascent_mesoderm,E7_Nascent_mesoderm,E675_Nascent_mesoderm,E65_Primitive_Streak,E625_Epiblast
E75_Mixed_mesoderm	E75_Mixed_mesoderm,E725_Nascent_mesoderm,E7_Nascent_mesoderm,E675_Nascent_mesoderm,E65_Primitive_Streak,E625_Epiblast
E725_Blood_prog	E725_Blood_prog,E7_Haematoendothelial_prog,E675_Nascent_mesoderm,E65_Primitive_Streak,E625_Epiblast
E115_Radial_glia	E115_Radial_glia,E105_Radial_glia,E95_Radial_glia,E85_Spinal_cord,E825_Spinal_cord,E8_Caudal_neurectoderm,E775_Caudal_neurectoderm,E75_Rostral_neurectoderm,E725_Epiblast,E7_Epiblast,E675_Epiblast,E65_Epiblast,E625_Epiblast
E115_Intermediate_mesoderm	E115_Intermediate_mesoderm,E105_Intermediate_mesoderm,E95_Intermediate_mesoderm,E85_Splanchnic_mesoderm,E825_Splanchnic_mesoderm,E8_Splanchnic_mesoderm,E775_Splanchnic_mesoderm,E75_Splanchnic_mesoderm,E725_Nascent_mesoderm,E7_Nascent_mesoderm,E675_Nascent_mesoderm,E65_Primitive_Streak,E625_Epiblast
E135_Small_sensory_neuron	E135_Small_sensory_neuron,E125_Small_sensory_neuron,E115_Small_sensory_neuron,E105_Small_sensory_neuron,E95_Neuron_prog,E85_Hindbrain,E825_Hindbrain,E8_Rostral_neurectoderm,E775_Rostral_neurectoderm,E75_Rostral_neurectoderm,E725_Epiblast,E7_Epiblast,E675_Epiblast,E65_Epiblast,E625_Epiblast
E8_Def_endoderm	E8_Def_endoderm,E775_Def_endoderm,E75_Def_endoderm,E725_Def_endoderm,E7_Anterior_Primitive_Streak,E675_Primitive_Streak,E65_Primitive_Streak,E625_Epiblast
